Round,Task,Trial,Item.ID,Shape,Angle,Distr1,Distr2,Distr3,Distr4,Distr5,Distr6,Distr7,SelectedItem,Accuracy,Word,Participant.ID,Condition,LinguisticStructure,Lang.ID
1,Exposure,1,20,3,315,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,2,9,2,90,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,3,25,4,120,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,4,11,2,45,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,5,5,1,60,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,6,23,4,300,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,7,26,4,225,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,8,10,2,210,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,9,1,1,150,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,10,18,3,180,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,11,3,1,360,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,12,21,3,270,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,1,3,1,360,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,2,20,3,315,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,3,1,1,150,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,4,26,4,225,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,5,23,4,300,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,6,21,3,270,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,7,9,2,90,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,8,10,2,210,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,9,11,2,45,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,10,18,3,180,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,11,25,4,120,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Exposure,12,5,1,60,,,,,,,,,,"",P10,small,0.090233625085178,S1
1,Guessing,1,9,2,90,10,26,23,,,,,9,1,"",P10,small,0.090233625085178,S1
1,Guessing,2,23,4,300,26,20,9,,,,,23,1,"",P10,small,0.090233625085178,S1
1,Guessing,3,21,3,270,1,5,11,,,,,11,0,"",P10,small,0.090233625085178,S1
1,Guessing,4,26,4,225,5,18,3,,,,,26,1,"",P10,small,0.090233625085178,S1
1,Guessing,5,18,3,180,25,20,23,,,,,18,1,"",P10,small,0.090233625085178,S1
1,Guessing,6,3,1,360,1,20,25,,,,,3,1,"",P10,small,0.090233625085178,S1
1,Guessing,7,11,2,45,5,1,26,,,,,11,1,"",P10,small,0.090233625085178,S1
1,Guessing,8,20,3,315,18,1,11,,,,,20,1,"",P10,small,0.090233625085178,S1
1,Guessing,9,25,4,120,9,23,10,,,,,25,1,"",P10,small,0.090233625085178,S1
1,Guessing,10,1,1,150,18,3,11,,,,,1,1,"",P10,small,0.090233625085178,S1
1,Guessing,11,10,2,210,5,23,21,,,,,23,0,"",P10,small,0.090233625085178,S1
1,Guessing,12,5,1,60,11,25,3,,,,,5,1,"",P10,small,0.090233625085178,S1
1,Guessing,1,5,1,60,26,20,10,,,,,5,1,"",P10,small,0.090233625085178,S1
1,Guessing,2,26,4,225,5,23,1,,,,,23,0,"",P10,small,0.090233625085178,S1
1,Guessing,3,21,3,270,1,9,5,,,,,21,1,"",P10,small,0.090233625085178,S1
1,Guessing,4,23,4,300,18,26,21,,,,,21,0,"",P10,small,0.090233625085178,S1
1,Guessing,5,3,1,360,18,1,5,,,,,3,1,"",P10,small,0.090233625085178,S1
1,Guessing,6,25,4,120,10,21,9,,,,,25,1,"",P10,small,0.090233625085178,S1
1,Guessing,7,18,3,180,25,3,5,,,,,18,1,"",P10,small,0.090233625085178,S1
1,Guessing,8,1,1,150,5,20,3,,,,,5,0,"",P10,small,0.090233625085178,S1
1,Guessing,9,11,2,45,9,1,26,,,,,11,1,"",P10,small,0.090233625085178,S1
1,Guessing,10,10,2,210,20,25,1,,,,,10,1,"",P10,small,0.090233625085178,S1
1,Guessing,11,20,3,315,23,21,3,,,,,20,1,"",P10,small,0.090233625085178,S1
1,Guessing,12,9,2,90,10,21,5,,,,,5,0,"",P10,small,0.090233625085178,S1
1,Production,1,9,2,90,,,,,,,,,0,hooft,P10,small,0.090233625085178,S1
1,Production,2,11,2,45,,,,,,,,,0,huift,P10,small,0.090233625085178,S1
1,Production,3,18,3,180,,,,,,,,,1,hauft,P10,small,0.090233625085178,S1
1,Production,4,21,3,270,,,,,,,,,0,huift,P10,small,0.090233625085178,S1
1,Production,5,10,2,210,,,,,,,,,0,segft,P10,small,0.090233625085178,S1
1,Production,6,26,4,225,,,,,,,,,0,wasft,P10,small,0.090233625085178,S1
1,Production,7,5,1,60,,,,,,,,,0,wooft,P10,small,0.090233625085178,S1
1,Production,8,20,3,315,,,,,,,,,0,sauft,P10,small,0.090233625085178,S1
1,Production,9,3,1,360,,,,,,,,,1,kuim,P10,small,0.090233625085178,S1
1,Production,10,25,4,120,,,,,,,,,0,hauft,P10,small,0.090233625085178,S1
1,Production,11,23,4,300,,,,,,,,,0,saupt,P10,small,0.090233625085178,S1
1,Production,12,1,1,150,,,,,,,,,0,woof,P10,small,0.090233625085178,S1
1,Production,1,9,2,90,,,,,,,,,0,hieg,P10,small,0.090233625085178,S1
1,Production,2,5,1,60,,,,,,,,,1,koof,P10,small,0.090233625085178,S1
1,Production,3,10,2,210,,,,,,,,,1,sgeft,P10,small,0.090233625085178,S1
1,Production,4,3,1,360,,,,,,,,,0,hieg,P10,small,0.090233625085178,S1
1,Production,5,26,4,225,,,,,,,,,0,waft,P10,small,0.090233625085178,S1
1,Production,6,23,4,300,,,,,,,,,0,hieg,P10,small,0.090233625085178,S1
1,Production,7,18,3,180,,,,,,,,,0,hieg,P10,small,0.090233625085178,S1
1,Production,8,11,2,45,,,,,,,,,0,huift,P10,small,0.090233625085178,S1
1,Production,9,1,1,150,,,,,,,,,0,seft,P10,small,0.090233625085178,S1
1,Production,10,20,3,315,,,,,,,,,0,suith,P10,small,0.090233625085178,S1
1,Production,11,21,3,270,,,,,,,,,0,haupt,P10,small,0.090233625085178,S1
1,Production,12,25,4,120,,,,,,,,,0,waft,P10,small,0.090233625085178,S1
2,Exposure,1,4,1,210,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,2,15,3,45,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,3,12,2,135,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,4,16,3,135,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,5,8,2,270,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,6,7,1,315,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,7,19,3,240,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,8,14,2,180,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,9,28,4,30,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,10,6,1,240,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,11,13,2,330,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,1,13,2,330,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,2,15,3,45,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,3,19,3,240,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,4,14,2,180,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,5,6,1,240,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,6,12,2,135,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,7,8,2,270,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,8,16,3,135,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,9,28,4,30,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,10,4,1,210,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Exposure,11,7,1,315,,,,,,,,,,"",P10,small,0.090233625085178,S1
2,Guessing,1,14,2,180,6,13,7,,,,,14,1,"",P10,small,0.090233625085178,S1
2,Guessing,2,15,3,45,7,6,16,,,,,15,1,"",P10,small,0.090233625085178,S1
2,Guessing,3,8,2,270,14,6,4,,,,,8,1,"",P10,small,0.090233625085178,S1
2,Guessing,4,7,1,315,19,13,12,,,,,7,1,"",P10,small,0.090233625085178,S1
2,Guessing,5,16,3,135,13,15,14,,,,,16,1,"",P10,small,0.090233625085178,S1
2,Guessing,6,6,1,240,19,4,15,,,,,6,1,"",P10,small,0.090233625085178,S1
2,Guessing,7,4,1,210,28,12,8,,,,,4,1,"",P10,small,0.090233625085178,S1
2,Guessing,8,12,2,135,14,8,15,,,,,12,1,"",P10,small,0.090233625085178,S1
2,Guessing,9,13,2,330,15,6,8,,,,,13,1,"",P10,small,0.090233625085178,S1
2,Guessing,10,19,3,240,6,28,14,,,,,19,1,"",P10,small,0.090233625085178,S1
2,Guessing,11,28,4,30,15,8,14,,,,,28,1,"",P10,small,0.090233625085178,S1
2,Guessing,1,7,1,315,6,13,14,,,,,7,1,"",P10,small,0.090233625085178,S1
2,Guessing,2,15,3,45,12,28,4,,,,,15,1,"",P10,small,0.090233625085178,S1
2,Guessing,3,8,2,270,4,12,28,,,,,8,1,"",P10,small,0.090233625085178,S1
2,Guessing,4,12,2,135,4,19,16,,,,,12,1,"",P10,small,0.090233625085178,S1
2,Guessing,5,6,1,240,7,4,16,,,,,6,1,"",P10,small,0.090233625085178,S1
2,Guessing,6,4,1,210,12,28,14,,,,,4,1,"",P10,small,0.090233625085178,S1
2,Guessing,7,19,3,240,16,12,4,,,,,19,1,"",P10,small,0.090233625085178,S1
2,Guessing,8,28,4,30,19,15,7,,,,,28,1,"",P10,small,0.090233625085178,S1
2,Guessing,9,16,3,135,15,14,8,,,,,16,1,"",P10,small,0.090233625085178,S1
2,Guessing,10,14,2,180,15,16,4,,,,,14,1,"",P10,small,0.090233625085178,S1
2,Guessing,11,13,2,330,19,14,8,,,,,13,1,"",P10,small,0.090233625085178,S1
2,Production,1,14,2,180,,,,,,,,,1,muif,P10,small,0.090233625085178,S1
2,Production,2,19,3,240,,,,,,,,,1,fogt,P10,small,0.090233625085178,S1
2,Production,3,16,3,135,,,,,,,,,0,puut,P10,small,0.090233625085178,S1
2,Production,4,28,4,30,,,,,,,,,1,keuw,P10,small,0.090233625085178,S1
2,Production,5,7,1,315,,,,,,,,,0,moog,P10,small,0.090233625085178,S1
2,Production,6,4,1,210,,,,,,,,,0,huift,P10,small,0.090233625085178,S1
2,Production,7,6,1,240,,,,,,,,,1,smoogg,P10,small,0.090233625085178,S1
2,Production,8,13,2,330,,,,,,,,,0,kauw,P10,small,0.090233625085178,S1
2,Production,9,15,3,45,,,,,,,,,0,pof,P10,small,0.090233625085178,S1
2,Production,10,8,2,270,,,,,,,,,0,wuft,P10,small,0.090233625085178,S1
2,Production,11,12,2,135,,,,,,,,,0,wenf,P10,small,0.090233625085178,S1
2,Production,1,13,2,330,,,,,,,,,0,wenf,P10,small,0.090233625085178,S1
2,Production,2,14,2,180,,,,,,,,,1,muif,P10,small,0.090233625085178,S1
2,Production,3,28,4,30,,,,,,,,,1,keuw,P10,small,0.090233625085178,S1
2,Production,4,7,1,315,,,,,,,,,1,goom,P10,small,0.090233625085178,S1
2,Production,5,15,3,45,,,,,,,,,1,pofs,P10,small,0.090233625085178,S1
2,Production,6,16,3,135,,,,,,,,,1,spuut,P10,small,0.090233625085178,S1
2,Production,7,19,3,240,,,,,,,,,0,fogs,P10,small,0.090233625085178,S1
2,Production,8,6,1,240,,,,,,,,,1,smoogg,P10,small,0.090233625085178,S1
2,Production,9,12,2,135,,,,,,,,,0,heefs,P10,small,0.090233625085178,S1
2,Production,10,4,1,210,,,,,,,,,0,pohuifs,P10,small,0.090233625085178,S1
2,Production,11,8,2,270,,,,,,,,,0,wafs,P10,small,0.090233625085178,S1
3,Exposure,1,6,1,240,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,2,10,2,210,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,3,25,4,120,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,4,9,2,90,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,5,3,1,360,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,6,20,3,315,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,7,7,1,315,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,8,5,1,60,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,9,21,3,270,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,10,19,3,240,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,11,13,2,330,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,12,12,2,135,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,13,18,3,180,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,14,11,2,45,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,15,23,4,300,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,16,1,1,150,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,17,15,3,45,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,18,14,2,180,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,19,28,4,30,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,20,4,1,210,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,21,16,3,135,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,22,26,4,225,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Exposure,23,8,2,270,,,,,,,,,,"",P10,small,0.090233625085178,S1
3,Guessing,1,1,1,150,9,19,23,7,15,13,14,1,1,"",P10,small,0.090233625085178,S1
3,Guessing,2,6,1,240,14,7,10,16,28,11,20,6,1,"",P10,small,0.090233625085178,S1
3,Guessing,3,12,2,135,18,26,4,19,11,6,9,12,1,"",P10,small,0.090233625085178,S1
3,Guessing,4,11,2,45,21,1,23,4,10,13,15,4,0,"",P10,small,0.090233625085178,S1
3,Guessing,5,3,1,360,5,19,12,7,18,1,21,3,1,"",P10,small,0.090233625085178,S1
3,Guessing,6,15,3,45,10,13,16,20,9,1,7,15,1,"",P10,small,0.090233625085178,S1
3,Guessing,7,10,2,210,12,21,11,5,6,14,18,14,0,"",P10,small,0.090233625085178,S1
3,Guessing,8,26,4,225,11,15,19,23,6,9,28,26,1,"",P10,small,0.090233625085178,S1
3,Guessing,9,20,3,315,10,4,8,5,21,23,18,20,1,"",P10,small,0.090233625085178,S1
3,Guessing,10,7,1,315,12,1,10,25,28,16,3,7,1,"",P10,small,0.090233625085178,S1
3,Guessing,11,23,4,300,3,16,1,11,7,8,14,23,1,"",P10,small,0.090233625085178,S1
3,Guessing,12,21,3,270,7,23,1,28,25,15,10,21,1,"",P10,small,0.090233625085178,S1
3,Guessing,13,18,3,180,25,23,19,11,5,28,15,18,1,"",P10,small,0.090233625085178,S1
3,Guessing,14,9,2,90,16,13,21,3,11,5,26,5,0,"",P10,small,0.090233625085178,S1
3,Guessing,15,4,1,210,15,26,13,19,21,23,11,4,1,"",P10,small,0.090233625085178,S1
3,Guessing,16,19,3,240,14,18,10,6,21,8,13,19,1,"",P10,small,0.090233625085178,S1
3,Guessing,17,16,3,135,19,3,4,25,11,13,15,16,1,"",P10,small,0.090233625085178,S1
3,Guessing,18,13,2,330,28,20,16,9,7,12,3,13,1,"",P10,small,0.090233625085178,S1
3,Guessing,19,14,2,180,7,15,19,10,16,26,4,14,1,"",P10,small,0.090233625085178,S1
3,Guessing,20,25,4,120,10,28,11,8,5,16,6,8,0,"",P10,small,0.090233625085178,S1
3,Guessing,21,5,1,60,6,7,4,18,15,26,28,5,1,"",P10,small,0.090233625085178,S1
3,Guessing,22,8,2,270,5,13,15,11,10,12,9,8,1,"",P10,small,0.090233625085178,S1
3,Guessing,23,28,4,30,9,7,10,25,14,20,15,28,1,"",P10,small,0.090233625085178,S1
3,Production,1,8,2,270,,,,,,,,,1,waft,P10,small,0.090233625085178,S1
3,Production,2,7,1,315,,,,,,,,,1,goom,P10,small,0.090233625085178,S1
3,Production,3,15,3,45,,,,,,,,,0,poft,P10,small,0.090233625085178,S1
3,Production,4,6,1,240,,,,,,,,,1,smoogg,P10,small,0.090233625085178,S1
3,Production,5,16,3,135,,,,,,,,,1,spuut,P10,small,0.090233625085178,S1
3,Production,6,25,4,120,,,,,,,,,0,whuft,P10,small,0.090233625085178,S1
3,Production,7,20,3,315,,,,,,,,,1,hieg,P10,small,0.090233625085178,S1
3,Production,8,1,1,150,,,,,,,,,1,woop,P10,small,0.090233625085178,S1
3,Production,9,28,4,30,,,,,,,,,0,wuft,P10,small,0.090233625085178,S1
3,Production,10,3,1,360,,,,,,,,,1,kuim,P10,small,0.090233625085178,S1
3,Production,11,4,1,210,,,,,,,,,0,weft,P10,small,0.090233625085178,S1
3,Production,12,18,3,180,,,,,,,,,1,hauft,P10,small,0.090233625085178,S1
3,Production,13,10,2,210,,,,,,,,,0,wuft,P10,small,0.090233625085178,S1
3,Production,14,13,2,330,,,,,,,,,1,weft,P10,small,0.090233625085178,S1
3,Production,15,23,4,300,,,,,,,,,0,wuith,P10,small,0.090233625085178,S1
3,Production,16,14,2,180,,,,,,,,,1,muif,P10,small,0.090233625085178,S1
3,Production,17,19,3,240,,,,,,,,,0,fog,P10,small,0.090233625085178,S1
3,Production,18,5,1,60,,,,,,,,,1,koof,P10,small,0.090233625085178,S1
3,Production,19,9,2,90,,,,,,,,,0,weft,P10,small,0.090233625085178,S1
3,Production,20,26,4,225,,,,,,,,,0,waft,P10,small,0.090233625085178,S1
3,Production,21,11,2,45,,,,,,,,,1,wuit,P10,small,0.090233625085178,S1
3,Production,22,12,2,135,,,,,,,,,1,heegt,P10,small,0.090233625085178,S1
3,Production,23,21,3,270,,,,,,,,,0,huift,P10,small,0.090233625085178,S1
5,MemorizationTest,1,7,1,315,,,,,,,,,1,goom,P10,small,0.090233625085178,S1
5,MemorizationTest,2,20,3,315,,,,,,,,,1,hieg,P10,small,0.090233625085178,S1
5,MemorizationTest,3,11,2,45,,,,,,,,,1,wuit,P10,small,0.090233625085178,S1
5,MemorizationTest,4,23,4,300,,,,,,,,,1,suith,P10,small,0.090233625085178,S1
5,MemorizationTest,5,6,1,240,,,,,,,,,1,smoogg,P10,small,0.090233625085178,S1
5,MemorizationTest,6,28,4,30,,,,,,,,,1,keuw,P10,small,0.090233625085178,S1
5,MemorizationTest,7,3,1,360,,,,,,,,,1,kuim,P10,small,0.090233625085178,S1
5,MemorizationTest,8,12,2,135,,,,,,,,,1,heegt,P10,small,0.090233625085178,S1
5,MemorizationTest,9,13,2,330,,,,,,,,,1,weft,P10,small,0.090233625085178,S1
5,MemorizationTest,10,26,4,225,,,,,,,,,0,waft,P10,small,0.090233625085178,S1
5,MemorizationTest,11,14,2,180,,,,,,,,,1,muif,P10,small,0.090233625085178,S1
5,MemorizationTest,12,9,2,90,,,,,,,,,1,moof,P10,small,0.090233625085178,S1
5,MemorizationTest,13,16,3,135,,,,,,,,,1,spuut,P10,small,0.090233625085178,S1
5,MemorizationTest,14,8,2,270,,,,,,,,,1,waft,P10,small,0.090233625085178,S1
5,MemorizationTest,15,4,1,210,,,,,,,,,0,woop,P10,small,0.090233625085178,S1
5,MemorizationTest,16,1,1,150,,,,,,,,,1,woop,P10,small,0.090233625085178,S1
5,MemorizationTest,17,18,3,180,,,,,,,,,1,hauft,P10,small,0.090233625085178,S1
5,MemorizationTest,18,5,1,60,,,,,,,,,1,koof,P10,small,0.090233625085178,S1
5,MemorizationTest,19,25,4,120,,,,,,,,,0,wuft,P10,small,0.090233625085178,S1
5,MemorizationTest,20,21,3,270,,,,,,,,,1,huipt,P10,small,0.090233625085178,S1
5,MemorizationTest,21,15,3,45,,,,,,,,,1,pofs,P10,small,0.090233625085178,S1
5,MemorizationTest,22,19,3,240,,,,,,,,,0,fogs,P10,small,0.090233625085178,S1
5,MemorizationTest,23,10,2,210,,,,,,,,,0,segfs,P10,small,0.090233625085178,S1
5,RegularizationTest,1,2,1,30,,,,,,,,,,hoogs,P10,small,0.090233625085178,S1
5,RegularizationTest,2,30,1,225,,,,,,,,,,wuifs,P10,small,0.090233625085178,S1
5,RegularizationTest,3,27,4,150,,,,,,,,,,kaufs,P10,small,0.090233625085178,S1
5,RegularizationTest,4,24,4,90,,,,,,,,,,koofs,P10,small,0.090233625085178,S1
5,RegularizationTest,5,29,1,120,,,,,,,,,,hoofs,P10,small,0.090233625085178,S1
5,RegularizationTest,6,34,3,60,,,,,,,,,,haupfs,P10,small,0.090233625085178,S1
5,RegularizationTest,7,36,4,150,,,,,,,,,,koofs,P10,small,0.090233625085178,S1
5,RegularizationTest,8,22,4,330,,,,,,,,,,kuifs,P10,small,0.090233625085178,S1
5,RegularizationTest,9,32,2,300,,,,,,,,,,suigs,P10,small,0.090233625085178,S1
5,RegularizationTest,10,35,4,60,,,,,,,,,,koofs,P10,small,0.090233625085178,S1
5,RegularizationTest,11,33,3,360,,,,,,,,,,huim,P10,small,0.090233625085178,S1
5,RegularizationTest,12,31,2,360,,,,,,,,,,sens,P10,small,0.090233625085178,S1
5,RegularizationTest,13,17,3,225,,,,,,,,,,sgofs,P10,small,0.090233625085178,S1
1,Exposure,1,20,3,315,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,2,18,3,180,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,3,11,2,45,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,4,21,3,270,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,5,25,4,120,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,6,26,4,225,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,7,3,1,360,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,8,1,1,150,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,9,23,4,300,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,10,5,1,60,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,11,10,2,210,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,12,9,2,90,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,1,9,2,90,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,2,11,2,45,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,3,21,3,270,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,4,3,1,360,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,5,25,4,120,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,6,10,2,210,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,7,5,1,60,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,8,26,4,225,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,9,18,3,180,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,10,20,3,315,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,11,1,1,150,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Exposure,12,23,4,300,,,,,,,,,,"",P11,small,0.090233625085178,S1
1,Guessing,1,20,3,315,21,5,10,,,,,20,1,"",P11,small,0.090233625085178,S1
1,Guessing,2,1,1,150,25,18,20,,,,,1,1,"",P11,small,0.090233625085178,S1
1,Guessing,3,18,3,180,9,5,26,,,,,5,0,"",P11,small,0.090233625085178,S1
1,Guessing,4,10,2,210,1,25,20,,,,,10,1,"",P11,small,0.090233625085178,S1
1,Guessing,5,23,4,300,21,26,9,,,,,9,0,"",P11,small,0.090233625085178,S1
1,Guessing,6,25,4,120,10,3,5,,,,,25,1,"",P11,small,0.090233625085178,S1
1,Guessing,7,5,1,60,23,9,3,,,,,9,0,"",P11,small,0.090233625085178,S1
1,Guessing,8,11,2,45,23,20,18,,,,,11,1,"",P11,small,0.090233625085178,S1
1,Guessing,9,21,3,270,20,18,26,,,,,21,1,"",P11,small,0.090233625085178,S1
1,Guessing,10,3,1,360,26,10,18,,,,,26,0,"",P11,small,0.090233625085178,S1
1,Guessing,11,9,2,90,26,10,3,,,,,26,0,"",P11,small,0.090233625085178,S1
1,Guessing,12,26,4,225,25,9,11,,,,,25,0,"",P11,small,0.090233625085178,S1
1,Guessing,1,26,4,225,21,5,1,,,,,26,1,"",P11,small,0.090233625085178,S1
1,Guessing,2,3,1,360,20,10,1,,,,,20,0,"",P11,small,0.090233625085178,S1
1,Guessing,3,18,3,180,10,9,5,,,,,18,1,"",P11,small,0.090233625085178,S1
1,Guessing,4,25,4,120,9,1,11,,,,,25,1,"",P11,small,0.090233625085178,S1
1,Guessing,5,21,3,270,18,11,9,,,,,21,1,"",P11,small,0.090233625085178,S1
1,Guessing,6,11,2,45,5,20,26,,,,,11,1,"",P11,small,0.090233625085178,S1
1,Guessing,7,5,1,60,20,11,10,,,,,10,0,"",P11,small,0.090233625085178,S1
1,Guessing,8,23,4,300,25,26,18,,,,,18,0,"",P11,small,0.090233625085178,S1
1,Guessing,9,9,2,90,10,5,23,,,,,9,1,"",P11,small,0.090233625085178,S1
1,Guessing,10,10,2,210,3,26,9,,,,,26,0,"",P11,small,0.090233625085178,S1
1,Guessing,11,20,3,315,26,23,10,,,,,20,1,"",P11,small,0.090233625085178,S1
1,Guessing,12,1,1,150,25,11,5,,,,,11,0,"",P11,small,0.090233625085178,S1
1,Production,1,21,3,270,,,,,,,,,0,moof,P11,small,0.090233625085178,S1
1,Production,2,3,1,360,,,,,,,,,0,huig,P11,small,0.090233625085178,S1
1,Production,3,20,3,315,,,,,,,,,0,huif,P11,small,0.090233625085178,S1
1,Production,4,23,4,300,,,,,,,,,0,sieg,P11,small,0.090233625085178,S1
1,Production,5,5,1,60,,,,,,,,,0,kuif,P11,small,0.090233625085178,S1
1,Production,6,26,4,225,,,,,,,,,0,sieg,P11,small,0.090233625085178,S1
1,Production,7,25,4,120,,,,,,,,,0,wieg,P11,small,0.090233625085178,S1
1,Production,8,11,2,45,,,,,,,,,0,moog,P11,small,0.090233625085178,S1
1,Production,9,9,2,90,,,,,,,,,0,kuim,P11,small,0.090233625085178,S1
1,Production,10,10,2,210,,,,,,,,,0,moof,P11,small,0.090233625085178,S1
1,Production,11,18,3,180,,,,,,,,,0,moog,P11,small,0.090233625085178,S1
1,Production,12,1,1,150,,,,,,,,,0,segt,P11,small,0.090233625085178,S1
1,Production,1,25,4,120,,,,,,,,,0,kuim,P11,small,0.090233625085178,S1
1,Production,2,20,3,315,,,,,,,,,0,haupt,P11,small,0.090233625085178,S1
1,Production,3,5,1,60,,,,,,,,,0,siegt,P11,small,0.090233625085178,S1
1,Production,4,9,2,90,,,,,,,,,0,hiegt,P11,small,0.090233625085178,S1
1,Production,5,11,2,45,,,,,,,,,0,hieft,P11,small,0.090233625085178,S1
1,Production,6,18,3,180,,,,,,,,,0,haupt,P11,small,0.090233625085178,S1
1,Production,7,1,1,150,,,,,,,,,0,wieft,P11,small,0.090233625085178,S1
1,Production,8,10,2,210,,,,,,,,,0,moof,P11,small,0.090233625085178,S1
